STATISTIC,Statistic Label,TLIST(M1),Month,C03788V04538,COUNTYNAME,UNIT,WaitingTime
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,IE0,Ireland,Weeks,15.9
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1450-13a3-e055-000000000001,Clare,Weeks,15.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1451-13a3-e055-000000000001,Cork,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1448-13a3-e055-000000000001,Cavan,Weeks,20.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-143d-13a3-e055-000000000001,Carlow,Weeks,15.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1452-13a3-e055-000000000001,Donegal,Weeks,20.7
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-144f-13a3-e055-000000000001,Dublin,Weeks,19.4
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1453-13a3-e055-000000000001,Galway,Weeks,16.7
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1455-13a3-e055-000000000001,Kildare,Weeks,20.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1456-13a3-e055-000000000001,Kilkenny,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1454-13a3-e055-000000000001,Kerry,Weeks,19.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1441-13a3-e055-000000000001,Longford,Weeks,28.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1442-13a3-e055-000000000001,Louth,Weeks,23.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1440-13a3-e055-000000000001,Limerick,Weeks,9.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-143f-13a3-e055-000000000001,Leitrim,Weeks,20.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-143e-13a3-e055-000000000001,Laois,Weeks,14.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1444-13a3-e055-000000000001,Meath,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1445-13a3-e055-000000000001,Monaghan,Weeks,11.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1443-13a3-e055-000000000001,Mayo,Weeks,19.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1446-13a3-e055-000000000001,Offaly,Weeks,17.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1447-13a3-e055-000000000001,Roscommon,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-1449-13a3-e055-000000000001,Sligo,Weeks,26.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-144a-13a3-e055-000000000001,Tipperary,Weeks,11.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-144b-13a3-e055-000000000001,Waterford,Weeks,14.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-144e-13a3-e055-000000000001,Wicklow,Weeks,24.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-144c-13a3-e055-000000000001,Westmeath,Weeks,10.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202109,2021 September,2ae19629-144d-13a3-e055-000000000001,Wexford,Weeks,10.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,IE0,Ireland,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1450-13a3-e055-000000000001,Clare,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1451-13a3-e055-000000000001,Cork,Weeks,5.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1448-13a3-e055-000000000001,Cavan,Weeks,11.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-143d-13a3-e055-000000000001,Carlow,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1452-13a3-e055-000000000001,Donegal,Weeks,12.7
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144f-13a3-e055-000000000001,Dublin,Weeks,13.4
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1453-13a3-e055-000000000001,Galway,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1455-13a3-e055-000000000001,Kildare,Weeks,11.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1456-13a3-e055-000000000001,Kilkenny,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1454-13a3-e055-000000000001,Kerry,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1441-13a3-e055-000000000001,Longford,Weeks,17.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1442-13a3-e055-000000000001,Louth,Weeks,17.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1440-13a3-e055-000000000001,Limerick,Weeks,9.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-143f-13a3-e055-000000000001,Leitrim,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-143e-13a3-e055-000000000001,Laois,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1444-13a3-e055-000000000001,Meath,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1445-13a3-e055-000000000001,Monaghan,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1443-13a3-e055-000000000001,Mayo,Weeks,11.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1446-13a3-e055-000000000001,Offaly,Weeks,12.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1447-13a3-e055-000000000001,Roscommon,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1449-13a3-e055-000000000001,Sligo,Weeks,15.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144a-13a3-e055-000000000001,Tipperary,Weeks,7.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144b-13a3-e055-000000000001,Waterford,Weeks,9.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144e-13a3-e055-000000000001,Wicklow,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144c-13a3-e055-000000000001,Westmeath,Weeks,4.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144d-13a3-e055-000000000001,Wexford,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,IE0,Ireland,Weeks,7.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1450-13a3-e055-000000000001,Clare,Weeks,6.0
