"STATISTIC","Statistic Label","TLIST(M1)","Month","C03788V04538","County","UNIT","VALUE"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","IE0","Ireland","Weeks","15.9"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Weeks","15.3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Weeks","10"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Weeks","20"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Weeks","15"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Weeks","20.7"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Weeks","19.4"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Weeks","16.7"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Weeks","20"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Weeks","10"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Weeks","19.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Weeks","28"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Weeks","23.5"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1440-13a3-e055-000000000001","Co. Limerick","Weeks","9.8"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-143f-13a3-e055-000000000001","Co. Leitrim","Weeks","20"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-143e-13a3-e055-000000000001","Co. Laois","Weeks","14"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1444-13a3-e055-000000000001","Co. Meath","Weeks","10"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1445-13a3-e055-000000000001","Co. Monaghan","Weeks","11"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1443-13a3-e055-000000000001","Co. Mayo","Weeks","19"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1446-13a3-e055-000000000001","Co. Offaly","Weeks","17.3"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1447-13a3-e055-000000000001","Co. Roscommon","Weeks","10"
"ROA37C01","Estimated Time to Car Test Invite at Month End","202109","2021 September","2ae19629-1449-13a3-e055-000000000001","Co. Sligo","Weeks","26"
